#       Tempo      Altitude       Vel rad     Densid    Volume    Raio balão
   7.40000000  881.03677535    4.85239256    1.10844924    7.55335294    1.21716820
   7.50000000  881.52200568    4.85221297    1.10839607    7.55346122    1.21717402
   7.60000000  882.00721772    4.85202688    1.10834290    7.55356949    1.21717983
   7.70000000  882.49241087    4.85183512    1.10828974    7.55367777    1.21718565
   7.80000000  882.97758458    4.85163841    1.10823658    7.55378604    1.21719146
   7.90000000  883.46273840    4.85143738    1.10818343    7.55389432    1.21719728
   8.00000000  883.94787192    4.85123257    1.10813028    7.55400259    1.21720309
   8.10000000  884.43298480    4.85102447    1.10807713    7.55411087    1.21720891
   8.20000000  884.91807672    4.85081349    1.10802399    7.55421914    1.21721472
   8.30000000  885.40314741    4.85059999    1.10797086    7.55432741    1.21722054
   8.40000000  885.88819664    4.85038431    1.10791773    7.55443568    1.21722636
   8.50000000  886.37322420    4.85016671    1.10786460    7.55454395    1.21723217
   8.60000000  886.85822992    4.84994743    1.10781148    7.55465222    1.21723799
   8.70000000  887.34321364    4.84972670    1.10775836    7.55476049    1.21724380
   8.80000000  887.82817521    4.84950468    1.10770524    7.55486876    1.21724961
   8.90000000  888.31311453    4.84928155    1.10765214    7.55497703    1.21725543
   9.00000000  888.79803149    4.84905745    1.10759903    7.55508529    1.21726124
   9.10000000  889.28292599    4.84883249    1.10754593    7.55519356    1.21726706
   9.20000000  889.76779796    4.84860679    1.10749284    7.55530182    1.21727287
   9.30000000  890.25264732    4.84838043    1.10743974    7.55541009    1.21727869
   9.40000000  890.73747402    4.84815351    1.10738666    7.55551835    1.21728450
   9.50000000  891.22227800    4.84792608    1.10733358    7.55562661    1.21729032
   9.60000000  891.70705922    4.84769822    1.10728050    7.55573487    1.21729613
   9.70000000  892.19181763    4.84746997    1.10722743    7.55584313    1.21730194
   9.80000000  892.67655320    4.84724139    1.10717436    7.55595139    1.21730776
   9.90000000  893.16126589    4.84701252    1.10712130    7.55605964    1.21731357
  10.00000000  893.64595569    4.84678338    1.10706824    7.55616790    1.21731938
  10.10000000  894.13062256    4.84655402    1.10701518    7.55627615    1.21732520
  10.20000000  894.61526648    4.84632447    1.10696214    7.55638440    1.21733101
  10.30000000  895.09988744    4.84609473    1.10690909    7.55649266    1.21733682
  10.40000000  895.58448542    4.84586484    1.10685605    7.55660091    1.21734264
  10.50000000  896.06906040    4.84563482    1.10680302    7.55670916    1.21734845
  10.60000000  896.55361237    4.84540467    1.10674999    7.55681740    1.21735426
  10.70000000  897.03814133    4.84517442    1.10669696    7.55692565    1.21736007
  10.80000000  897.52264725    4.84494408    1.10664394    7.55703390    1.21736589
  10.90000000  898.00713013    4.84471365    1.10659092    7.55714214    1.21737170
  11.00000000  898.49158997    4.84448315    1.10653791    7.55725039    1.21737751
  11.10000000  898.97602676    4.84425258    1.10648490    7.55735863    1.21738332
  11.20000000  899.46044048    4.84402196    1.10643190    7.55746687    1.21738914
  11.30000000  899.94483114    4.84379128    1.10637890    7.55757511    1.21739495
  11.40000000  900.42919873    4.84356055    1.10632591    7.55768335    1.21740076
  11.50000000  900.91354325    4.84332978    1.10627292    7.55779159    1.21740657
  11.60000000  901.39786468    4.84309897    1.10621994    7.55789982    1.21741238
  11.70000000  901.88216304    4.84286813    1.10616696    7.55800806    1.21741819
  11.80000000  902.36643830    4.84263725    1.10611398    7.55811629    1.21742401
  11.90000000  902.85069048    4.84240635    1.10606101    7.55822453    1.21742982
  12.00000000  903.33491957    4.84217542    1.10600805    7.55833276    1.21743563
  12.10000000  903.81912556    4.84194446    1.10595509    7.55844099    1.21744144
  12.20000000  904.30330845    4.84171348    1.10590213    7.55854922    1.21744725
  12.30000000  904.78746824    4.84148248    1.10584918    7.55865745    1.21745306
  12.40000000  905.27160494    4.84125146    1.10579623    7.55876568    1.21745887
  12.50000000  905.75571853    4.84102042    1.10574329    7.55887390    1.21746468
  12.60000000  906.23980902    4.84078936    1.10569035    7.55898213    1.21747049
  12.70000000  906.72387640    4.84055829    1.10563742    7.55909035    1.21747630
  12.80000000  907.20792067    4.84032720    1.10558449    7.55919857    1.21748211
  12.90000000  907.69194183    4.84009610    1.10553157    7.55930679    1.21748792
  13.00000000  908.17593988    4.83986498    1.10547865    7.55941501    1.21749373
  13.10000000  908.65991482    4.83963384    1.10542573    7.55952323    1.21749954
  13.20000000  909.14386665    4.83940270    1.10537282    7.55963145    1.21750535
  13.30000000  909.62779536    4.83917154    1.10531992    7.55973967    1.21751116
  13.40000000  910.11170095    4.83894036    1.10526702    7.55984788    1.21751697
  13.50000000  910.59558342    4.83870918    1.10521412    7.55995610    1.21752278
  13.60000000  911.07944278    4.83847798    1.10516123    7.56006431    1.21752859
  13.70000000  911.56327901    4.83824677    1.10510835    7.56017252    1.21753440
  13.80000000  912.04709213    4.83801555    1.10505546    7.56028073    1.21754021
  13.90000000  912.53088212    4.83778431    1.10500259    7.56038894    1.21754601
  14.00000000  913.01464899    4.83755307    1.10494971    7.56049715    1.21755182
  14.10000000  913.49839273    4.83732181    1.10489685    7.56060536    1.21755763
  14.20000000  913.98211334    4.83709054    1.10484398    7.56071356    1.21756344
  14.30000000  914.46581083    4.83685926    1.10479112    7.56082177    1.21756925
  14.40000000  914.94948519    4.83662797    1.10473827    7.56092997    1.21757506
  14.50000000  915.43313642    4.83639667    1.10468542    7.56103817    1.21758087
  14.60000000  915.91676452    4.83616536    1.10463258    7.56114637    1.21758667
  14.70000000  916.40036948    4.83593404    1.10457974    7.56125457    1.21759248
  14.80000000  916.88395132    4.83570270    1.10452690    7.56136277    1.21759829
  14.90000000  917.36751002    4.83547136    1.10447407    7.56147097    1.21760410
  15.00000000  917.85104559    4.83524001    1.10442124    7.56157917    1.21760990
  15.10000000  918.33455802    4.83500864    1.10436842    7.56168736    1.21761571
  15.20000000  918.81804731    4.83477726    1.10431561    7.56179556    1.21762152
  15.30000000  919.30151347    4.83454588    1.10426279    7.56190375    1.21762733
