    Altitude       Raio_b        P_h - P       dR/dp       Beta_e
 854.87300000    1.21679652    0.00000000    0.00003793 19519.97166260
 859.74600000    1.21679652   45.43436751    0.00003814 19493.24618341
 864.61900000    1.21697201   50.03599540    0.00003819 19479.70052720
 869.49200000    1.21714754   54.63222411    0.00003825 19466.16284983
 874.36500000    1.21732311   59.22305771    0.00003830 19452.63314729
 879.23800000    1.21749873   63.80850024    0.00003836 19439.11141559
 884.11100000    1.21767438   68.38855575    0.00003841 19425.59765073
 888.98400000    1.21785008   72.96322830    0.00003847 19412.09184872
 893.85700000    1.21802583   77.53252192    0.00003852 19398.59400555
 898.73000000    1.21820162   82.09644067    0.00003858 19385.10411725
 903.60300000    1.21837745   86.65498858    0.00003863 19371.62217982
 908.47600000    1.21855332   91.20816969    0.00003869 19358.14818926
 913.34900000    1.21872924   95.75598805    0.00003874 19344.68214161
 918.22200000    1.21890520  100.29844768    0.00003880 19331.22403286
 923.09500000    1.21908121  104.83555262    0.00003885 19317.77385904
 927.96800000    1.21925725  109.36730689    0.00003891 19304.33161617
 932.84100000    1.21943335  113.89371453    0.00003896 19290.89730026
 937.71400000    1.21960948  118.41477956    0.00003902 19277.47090734
 942.58700000    1.21978566  122.93050601    0.00003907 19264.05243343
 947.46000000    1.21996188  127.44089789    0.00003913 19250.64187456
 952.33300000    1.22013814  131.94595924    0.00003919 19237.23922676
 957.20600000    1.22031445  136.44569405    0.00003924 19223.84448605
 962.07900000    1.22049080  140.94010635    0.00003930 19210.45764846
 966.95200000    1.22066720  145.42920015    0.00003935 19197.07871003
 971.82500000    1.22084364  149.91297947    0.00003941 19183.70766679
 976.69800000    1.22102012  154.39144830    0.00003947 19170.34451478
 981.57100000    1.22119664  158.86461066    0.00003952 19156.98925003
 986.44400000    1.22137321  163.33247054    0.00003958 19143.64186858
 991.31700000    1.22154982  167.79503196    0.00003964 19130.30236648
 996.19000000    1.22172648  172.25229890    0.00003969 19116.97073977
1001.06300000    1.22190318  176.70427537    0.00003975 19103.64698448
1005.93600000    1.22207992  181.15096536    0.00003981 19090.33109667
1010.80900000    1.22225671  185.59237287    0.00003987 19077.02307239
1015.68200000    1.22243354  190.02850188    0.00003992 19063.72290768
1020.55500000    1.22261041  194.45935639    0.00003998 19050.43059860
1025.42800000    1.22278733  198.88494037    0.00004004 19037.14614119
1030.30100000    1.22296429  203.30525781    0.00004010 19023.86953151
1035.17400000    1.22314130  207.72031270    0.00004015 19010.60076563
1040.04700000    1.22331834  212.13010901    0.00004021 18997.33983959
1044.92000000    1.22349544  216.53465072    0.00004027 18984.08674946
1049.79300000    1.22367257  220.93394181    0.00004033 18970.84149129
1054.66600000    1.22384975  225.32798625    0.00004039 18957.60406116
1059.53900000    1.22402697  229.71678800    0.00004044 18944.37445512
1064.41200000    1.22420424  234.10035104    0.00004050 18931.15266924
1069.28500000    1.22438155  238.47867934    0.00004056 18917.93869959
1074.15800000    1.22455890  242.85177685    0.00004062 18904.73254224
1079.03100000    1.22473630  247.21964755    0.00004068 18891.53419326
1083.90400000    1.22491374  251.58229538    0.00004074 18878.34364873
1088.77700000    1.22509123  255.93972431    0.00004080 18865.16090471
1093.65000000    1.22526876  260.29193829    0.00004085 18851.98595729
1098.52300000    1.22544633  264.63894127    0.00004091 18838.81880255
1103.39600000    1.22562395  268.98073721    0.00004097 18825.65943656
1108.26900000    1.22580161  273.31733005    0.00004103 18812.50785540
1113.14200000    1.22597932  277.64872374    0.00004109 18799.36405517
1118.01500000    1.22615706  281.97492223    0.00004115 18786.22803193
1122.88800000    1.22633486  286.29592946    0.00004121 18773.09978179
1127.76100000    1.22651269  290.61174936    0.00004127 18759.97930083
1132.63400000    1.22669057  294.92238587    0.00004133 18746.86658514
1137.50700000    1.22686850  299.22784294    0.00004139 18733.76163081
1142.38000000    1.22704647  303.52812449    0.00004145 18720.66443393
1147.25300000    1.22722448  307.82323445    0.00004151 18707.57499060
1152.12600000    1.22740253  312.11317675    0.00004157 18694.49329692
1156.99900000    1.22758063  316.39795533    0.00004163 18681.41934899
1161.87200000    1.22775878  320.67757410    0.00004169 18668.35314290
1166.74500000    1.22793697  324.95203698    0.00004175 18655.29467476
1171.61800000    1.22811520  329.22134790    0.00004181 18642.24394067
1176.49100000    1.22829347  333.48551078    0.00004187 18629.20093673
1181.36400000    1.22847180  337.74452953    0.00004194 18616.16565906
1186.23700000    1.22865016  341.99840806    0.00004200 18603.13810376
1191.11000000    1.22882857  346.24715029    0.00004206 18590.11826694
1195.98300000    1.22900702  350.49076012    0.00004212 18577.10614472
1200.85600000    1.22918552  354.72924146    0.00004218 18564.10173321
1205.72900000    1.22936406  358.96259823    0.00004224 18551.10502852
1210.60200000    1.22954264  363.19083431    0.00004230 18538.11602677
1215.47500000    1.22972127  367.41395361    0.00004237 18525.13472407
1220.34800000    1.22989995  371.63196003    0.00004243 18512.16111656
1225.22100000    1.23007866  375.84485747    0.00004249 18499.19520035
1230.09400000    1.23025743  380.05264982    0.00004255 18486.23697157
1234.96700000    1.23043623  384.25534097    0.00004261 18473.28642633
1239.84000000    1.23061508  388.45293480    0.00004268 18460.34356078
1244.71300000    1.23079398  392.64543522    0.00004274 18447.40837103
1249.58600000    1.23097292  396.83284610    0.00004280 18434.48085322
1254.45900000    1.23115190  401.01517133    0.00004286 18421.56100347
1259.33200000    1.23133093  405.19241479    0.00004293 18408.64881793
1264.20500000    1.23151000  409.36458035    0.00004299 18395.74429273
1269.07800000    1.23168911  413.53167190    0.00004305 18382.84742401
