    Raio_b        Beta
   1.27713547 16189791.82111664
   1.27732600 16181898.11767363
   1.27751657 16174016.96536716
   1.27770718 16166148.35233724
   1.27789785 16158292.26673192
   1.27808856 16150448.69670830
   1.27827933 16142617.63043140
   1.27847014 16134799.05607503
   1.27866099 16126992.96182114
   1.27885190 16119199.33586008
   1.27904286 16111418.16639086
   1.27923386 16103649.44162068
   1.27942491 16095893.14976520
   1.27961601 16088149.27904844
   1.27980716 16080417.81770288
   1.27999836 16072698.75396927
   1.28018960 16064992.07609678
   1.28038089 16057297.77234299
   1.28057224 16049615.83097384
   1.28076362 16041946.24026363
   1.28095506 16034288.98849495
   1.28114655 16026644.06395884
   1.28133808 16019011.45495447
   1.28152967 16011391.14978975
   1.28172130 16003783.13678049
   1.28191298 15996187.40425124
   1.28210471 15988603.94053451
   1.28229649 15981032.73397130
   1.28248831 15973473.77291106
   1.28268019 15965927.04571129
   1.28287211 15958392.54073784
   1.28306408 15950870.24636517
   1.28325610 15943360.15097569
   1.28344817 15935862.24296021
   1.28364029 15928376.51071786
   1.28383245 15920902.94265608
   1.28402467 15913441.52719048
   1.28421693 15905992.25274511
   1.28440924 15898555.10775206
   1.28460160 15891130.08065193
   1.28479401 15883717.15989352
   1.28498647 15876316.33393355
   1.28517898 15868927.59123754
   1.28537153 15861550.92027885
   1.28556414 15854186.30953937
   1.28575679 15846833.74750889
   1.28594949 15839493.22268572
   1.28614224 15832164.72357631
   1.28633504 15824848.23869523
   1.28652789 15817543.75656542
   1.28672079 15810251.26571794
   1.28691373 15802970.75469201
   1.28710673 15795702.21203523
   1.28729977 15788445.62630322
   1.28749286 15781200.98605992
   1.28768601 15773968.27987727
   1.28787920 15766747.49633576
   1.28807244 15759538.62402354
   1.28826572 15752341.65153744
   1.28845906 15745156.56748203
   1.28865245 15737983.36047047
   1.28884588 15730822.01912369
   1.28903937 15723672.53207110
   1.28923290 15716534.88794996
   1.28942649 15709409.07540588
   1.28962012 15702295.08309253
   1.28981380 15695192.89967177
   1.29000753 15688102.51381353
   1.29020131 15681023.91419593
   1.29039514 15673957.08950508
   1.29058902 15666902.02843549
   1.29078294 15659858.71968936
   1.29097692 15652827.15197740
   1.29117095 15645807.31401820
   1.29136502 15638799.19453855
   1.29155914 15631802.78227321
   1.29175332 15624818.06596519
   1.29194754 15617845.03436551
   1.29214181 15610883.67623300
   1.29233613 15603933.98033520
   1.29253051 15596995.93544710
   1.29272493 15590069.53035216
   1.29291939 15583154.75384159
   1.29311391 15576251.59471493
   1.29330848 15569360.04177953
   1.29350310 15562480.08385100
   1.29369777 15555611.70975279
   1.29389248 15548754.90831669
   1.29408725 15541909.66838211
   1.29428207 15535075.97879682
   1.29447693 15528253.82841632
   1.29467185 15521443.20610479
   1.29486681 15514644.10073332
   1.29506182 15507856.50118198
   1.29525689 15501080.39633842
   1.29545200 15494315.77509835
   1.29564716 15487562.62636553
   1.29584238 15480820.93905151
   1.29603764 15474090.70207620
   1.29623295 15467371.90436718
   1.29642831 15460664.53486008
   1.29662372 15453968.58249845
   1.29681918 15447284.03623406
   1.29701470 15440610.88502633
   1.29721026 15433949.11784276
   1.29740587 15427298.72365892
   1.29760153 15420659.69145808
   1.29779724 15414032.01023169
   1.29799300 15407415.66897900
   1.29818880 15400810.65670731
   1.29838466 15394216.96243153
   1.29858057 15387634.57517503
   1.29877653 15381063.48396871
   1.29897254 15374503.67785147
   1.29916860 15367955.14587016
   1.29936471 15361417.87707950
   1.29956087 15354891.86054219
   1.29975708 15348377.08532866
   1.29995334 15341873.54051737
   1.30014964 15335381.21519464
   1.30034600 15328900.09845472
   1.30054241 15322430.17939968
   1.30073887 15315971.44713941
   1.30093538 15309523.89079178
   1.30113194 15303087.49948240
   1.30132855 15296662.26234492
   1.30152521 15290248.16852074
   1.30172192 15283845.20715902
   1.30191868 15277453.36741706
   1.30211549 15271072.63845949
   1.30231235 15264703.00945934
   1.30250926 15258344.46959719
   1.30270622 15251997.00806136
   1.30290323 15245660.61404827
   1.30310029 15239335.27676191
   1.30329740 15233020.98541425
   1.30349456 15226717.72922486
   1.30369177 15220425.49742144
   1.30388904 15214144.27923922
   1.30408635 15207874.06392128
   1.30428371 15201614.84071857
   1.30448113 15195366.59888970
   1.30467859 15189129.32770128
   1.30487610 15182903.01642749
   1.30507367 15176687.65435033
   1.30527128 15170483.23075959
   1.30546895 15164289.73495298
   1.30566666 15158107.15623556
   1.30586443 15151935.48392053
   1.30606225 15145774.70732880
   1.30626011 15139624.81578885
   1.30645803 15133485.79863701
   1.30665600 15127357.64521725
   1.30685402 15121240.34488144
   1.30705209 15115133.88698915
   1.30725021 15109038.26090744
   1.30744838 15102953.45601142
   1.30764660 15096879.46168364
   1.30784488 15090816.26731449
   1.30804320 15084763.86230208
   1.30824157 15078722.23605220
   1.30844000 15072691.37797834
   1.30863847 15066671.27750154
   1.30883700 15060661.92405084
   1.30903558 15054663.30706267
   1.30923420 15048675.41598136
   1.30943288 15042698.24025847
   1.30963161 15036731.76935394
   1.30983039 15030775.99273482
   1.31002922 15024830.89987599
   1.31022810 15018896.48026004
   1.31042704 15012972.72337700
   1.31062602 15007059.61872496
   1.31082505 15001157.15580926
   1.31102414 14995265.32414294
   1.31122328 14989384.11324688
   1.31142246 14983513.51264935
   1.31162170 14977653.51188642
   1.31182099 14971804.10050171
   1.31202033 14965965.26804634
   1.31221972 14960137.00407936
   1.31241917 14954319.29816701
   1.31261866 14948512.13988340
   1.31281820 14942715.51881040
   1.31301780 14936929.42453678
   1.31321745 14931153.84665975
   1.31341714 14925388.77478363
   1.31361689 14919634.19852036
   1.31381669 14913890.10748959
   1.31401655 14908156.49131835
   1.31421645 14902433.33964143
   1.31441640 14896720.64210106
   1.31461641 14891018.38834700
   1.31481647 14885326.56803673
   1.31501657 14879645.17083508
   1.31521673 14873974.18641454
   1.31541694 14868313.60445515
   1.31561720 14862663.41464436
   1.31581752 14857023.60667726
   1.31601788 14851394.17025654
   1.31621830 14845775.09509216
   1.31641877 14840166.37090185
   1.31661929 14834567.98741082
   1.31681986 14828979.93435143
   1.31702048 14823402.20146415
   1.31722115 14817834.77849642
   1.31742188 14812277.65520348
   1.31762265 14806730.82134799
   1.31782348 14801194.26670004
   1.31802436 14795667.98103719
   1.31822529 14790151.95414455
   1.31842627 14784646.17581467
   1.31862731 14779150.63584754
   1.31882839 14773665.32405073
   1.31902953 14768190.23023902
   1.31923072 14762725.34423492
   1.31943196 14757270.65586830
   1.31963325 14751826.15497638
   1.31983460 14746391.83140394
   1.32003599 14740967.67500306
   1.32023744 14735553.67563361
   1.32043894 14730149.82316215
   1.32064049 14724756.10746353
   1.32084209 14719372.51841949
   1.32104375 14713999.04591924
   1.32124545 14708635.67985965
   1.32144721 14703282.41014470
   1.32164902 14697939.22668597
   1.32185089 14692606.11940227
   1.32205280 14687283.07821988
   1.32225477 14681970.09307267
   1.32245678 14676667.15390158
   1.32265885 14671374.25065504
   1.32286097 14666091.37328888
   1.32306315 14660818.51176643
   1.32326537 14655555.65605801
   1.32346765 14650302.79614170
   1.32366998 14645059.92200280
   1.32387236 14639827.02363385
   1.32407480 14634604.09103501
   1.32427728 14629391.11421328
   1.32447982 14624188.08318365
   1.32468241 14618994.98796803
   1.32488506 14613811.81859576
   1.32508775 14608638.56510342
   1.32529050 14603475.21753519
   1.32549330 14598321.76594212
   1.32569615 14593178.20038299
   1.32589905 14588044.51092378
   1.32610201 14582920.68763760
   1.32630502 14577806.72060504
   1.32650808 14572702.59991403
   1.32671119 14567608.31565949
   1.32691435 14562523.85794398
   1.32711757 14557449.21687721
   1.32732084 14552384.38257611
   1.32752416 14547329.34516490
   1.32772754 14542284.09477530
   1.32793096 14537248.62154578
   1.32813444 14532222.91562259
   1.32833797 14527206.96715923
   1.32854156 14522200.76631590
   1.32874520 14517204.30326064
   1.32894888 14512217.56816840
   1.32915263 14507240.55122155
   1.32935642 14502273.24260967
   1.32956027 14497315.63252942
   1.32976417 14492367.71118487
   1.32996812 14487429.46878723
   1.33017212 14482500.89555487
   1.33037618 14477581.98171367
   1.33058029 14472672.71749622
   1.33078445 14467773.09314270
   1.33098867 14462883.09890037
   1.33119294 14458002.72502382
   1.33139726 14453131.96177453
   1.33160163 14448270.79942146
   1.33180606 14443419.22824076
   1.33201054 14438577.23851534
   1.33221507 14433744.82053594
   1.33241965 14428921.96459990
   1.33262429 14424108.66101199
   1.33282898 14419304.90008422
   1.33303372 14414510.67213557
   1.33323852 14409725.96749221
   1.33344337 14404950.77648757
   1.33364827 14400185.08946217
   1.33385322 14395428.89676356
   1.33405823 14390682.18874665
   1.33426329 14385944.95577336
   1.33446841 14381217.18821276
   1.33467357 14376498.87644075
   1.33487879 14371790.01084097
   1.33508406 14367090.58180368
   1.33528939 14362400.57972649
   1.33549477 14357719.99501388
   1.33570020 14353048.81807779
   1.33590569 14348387.03933694
   1.33611122 14343734.64921724
   1.33631682 14339091.63815178
   1.33652246 14334457.99658065
   1.33672816 14329833.71495101
   1.33693391 14325218.78371717
   1.33713971 14320613.19334051
   1.33734557 14316016.93428934
   1.33755148 14311429.99703926
   1.33775744 14306852.37207274
   1.33796346 14302284.04987934
   1.33816953 14297725.02095592
   1.33837566 14293175.27580580
   1.33858183 14288634.80494004
   1.33878806 14284103.59887637
   1.33899435 14279581.64813956
   1.33920069 14275068.94326147
   1.33940708 14270565.47478099
   1.33961352 14266071.23324409
   1.33982002 14261586.20920359
   1.34002657 14257110.39321946
   1.34023317 14252643.77585866
   1.34043983 14248186.34769514
   1.34064654 14243738.09930984
   1.34085331 14239299.02129073
   1.34106013 14234869.10423276
   1.34126700 14230448.33873796
   1.34147393 14226036.71541508
   1.34168091 14221634.22488009
   1.34188794 14217240.85775597
   1.34209503 14212856.60467256
   1.34230217 14208481.45626643
   1.34250936 14204115.40318164
   1.34271661 14199758.43606895
   1.34292391 14195410.54558588
   1.34313127 14191071.72239729
   1.34333868 14186741.95717460
   1.34354614 14182421.24059645
   1.34375366 14178109.56334841
   1.34396123 14173806.91612272
   1.34416885 14169513.28961889
   1.34437653 14165228.67454313
   1.34458426 14160953.06160867
   1.34479205 14156686.44153563
   1.34499989 14152428.80505110
   1.34520778 14148180.14288886
   1.34541573 14143940.44578995
   1.34562373 14139709.70450204
   1.34583179 14135487.90977993
   1.34603990 14131275.05238481
   1.34624806 14127071.12308534
   1.34645628 14122876.11265709
   1.34666455 14118690.01188191
   1.34687288 14114512.81154901
   1.34708126 14110344.50245434
   1.34728969 14106185.07540071
   1.34749818 14102034.52119784
   1.34770672 14097892.83066228
   1.34791532 14093759.99461740
   1.34812397 14089636.00389343
   1.34833268 14085520.84932756
   1.34854144 14081414.52176376
   1.34875025 14077317.01205271
   1.34895912 14073228.31105206
   1.34916804 14069148.40962630
   1.34937702 14065077.29864681
   1.34958605 14061014.96899149
   1.34979514 14056961.41154544
   1.35000427 14052916.61720038
   1.35021347 14048880.57685479
   1.35042272 14044853.28141414
   1.35063202 14040834.72179047
   1.35084138 14036824.88890276
   1.35105079 14032823.77367701
   1.35126026 14028831.36704550
   1.35146978 14024847.65994771
   1.35167935 14020872.64332951
   1.35188898 14016906.30814408
   1.35209867 14012948.64535098
   1.35230841 14008999.64591668
   1.35251820 14005059.30081434
   1.35272805 14001127.60102403
   1.35293795 13997204.53753237
   1.35314791 13993290.10133292
   1.35335792 13989384.28342581
   1.35356799 13985487.07481813
   1.35377811 13981598.46652353
   1.35398828 13977718.44956251
   1.35419852 13973847.01496220
   1.35440880 13969984.15375662
   1.35461914 13966129.85698628
   1.35482954 13962284.11569868
   1.35503999 13958446.92094779
   1.35525049 13954618.26379447
   1.35546105 13950798.13530613
   1.35567167 13946986.52655727
   1.35588234 13943183.42862844
   1.35609306 13939388.83260740
   1.35630384 13935602.72958849
   1.35651467 13931825.11067268
   1.35672556 13928055.96696755
   1.35693651 13924295.28958758
   1.35714751 13920543.06965373
   1.35735856 13916799.29829376
   1.35756967 13913063.96664200
   1.35778084 13909337.06583944
   1.35799206 13905618.58703390
   1.35820333 13901908.52137960
   1.35841466 13898206.86003774
   1.35862604 13894513.59417565
   1.35883748 13890828.71496792
   1.35904898 13887152.21359545
   1.35926053 13883484.08124568
   1.35947214 13879824.30911302
   1.35968380 13876172.88839806
   1.35989551 13872529.81030843
   1.36010728 13868895.06605804
   1.36031911 13865268.64686804
   1.36053099 13861650.54396524
   1.36074293 13858040.74858373
   1.36095492 13854439.25196398
   1.36116697 13850846.04535329
   1.36137907 13847261.12000512
   1.36159123 13843684.46717998
   1.36180345 13840116.07814473
   1.36201572 13836555.94417274
   1.36222804 13833004.05654423
   1.36244042 13829460.40654576
   1.36265286 13825924.98547053
   1.36286535 13822397.78461832
   1.36307790 13818878.79529547
   1.36329050 13815368.00881494
   1.36350316 13811865.41649615
   1.36371587 13808371.00966510
   1.36392864 13804884.77965436
   1.36414147 13801406.71780306
   1.36435435 13797936.81545676
   1.36456728 13794475.06396779
   1.36478028 13791021.45469466
   1.36499332 13787575.97900291
   1.36520643 13784138.62826398
   1.36541959 13780709.39385627
   1.36563280 13777288.26716466
   1.36584607 13773875.23958043
   1.36605940 13770470.30250137
   1.36627278 13767073.44733184
   1.36648622 13763684.66548266
   1.36669972 13760303.94837108
   1.36691327 13756931.28742107
   1.36712687 13753566.67406276
   1.36734053 13750210.09973312
   1.36755425 13746861.55587527
   1.36776803 13743521.03393908
   1.36798186 13740188.52538075
   1.36819574 13736864.02166276
   1.36840968 13733547.51425458
   1.36862368 13730238.99463166
   1.36883773 13726938.45427608
   1.36905184 13723645.88467641
   1.36926601 13720361.27732755
   1.36948023 13717084.62373090
   1.36969451 13713815.91539467
   1.36990885 13710555.14383277
   1.37012324 13707302.30056598
   1.37033768 13704057.37712159
   1.37055219 13700820.36503311
   1.37076675 13697591.25584056
   1.37098136 13694370.04109052
   1.37119603 13691156.71233548
   1.37141076 13687951.26113505
   1.37162555 13684753.67905473
   1.37184039 13681563.95766654
   1.37205528 13678382.08854910
   1.37227024 13675208.06328709
   1.37248525 13672041.87347179
   1.37270031 13668883.51070092
   1.37291544 13665732.96657843
   1.37313062 13662590.23271475
   1.37334585 13659455.30072661
   1.37356114 13656328.16223715
   1.37377649 13653208.80887585
   1.37399190 13650097.23227864
   1.37420736 13646993.42408763
   1.37442288 13643897.37595162
   1.37463845 13640809.07952537
   1.37485408 13637728.52647020
   1.37506977 13634655.70845368
   1.37528552 13631590.61714993
   1.37550132 13628533.24423912
   1.37571718 13625483.58140790
   1.37593309 13622441.62034924
   1.37614906 13619407.35276246
   1.37636509 13616380.77035314
   1.37658117 13613361.86483322
   1.37679732 13610350.62792089
   1.37701351 13607347.05134077
   1.37722977 13604351.12682360
   1.37744608 13601362.84610661
   1.37766245 13598382.20093329
   1.37787888 13595409.18305339
   1.37809536 13592443.78422266
   1.37831190 13589485.99620375
   1.37852850 13586535.81076511
   1.37874515 13583593.21968167
   1.37896186 13580658.21473439
   1.37917863 13577730.78771118
   1.37939545 13574810.93040521
   1.37961234 13571898.63461665
   1.37982927 13568993.89215169
   1.38004627 13566096.69482280
   1.38026332 13563207.03444866
   1.38048043 13560324.90285421
   1.38069760 13557450.29187069
   1.38091482 13554583.19333572
   1.38113211 13551723.59909255
   1.38134944 13548871.50099151
   1.38156684 13546026.89088854
   1.38178429 13543189.76064606
   1.38200180 13540360.10213264
   1.38221937 13537537.90722306
   1.38243700 13534723.16779839
   1.38265468 13531915.87574581
   1.38287242 13529116.02295877
   1.38309022 13526323.60133685
   1.38330807 13523538.60278593
   1.38352598 13520761.01921787
   1.38374395 13517990.84255141
   1.38396198 13515228.06471026
   1.38418006 13512472.67762535
   1.38439820 13509724.67323342
   1.38461640 13506984.04347733
   1.38483466 13504250.78030628
   1.38505297 13501524.87567550
   1.38527134 13498806.32154631
   1.38548977 13496095.10988647
   1.38570826 13493391.23266969
   1.38592681 13490694.68187580
   1.38614541 13488005.44949090
   1.38636407 13485323.52750720
   1.38658278 13482648.90792296
   1.38680156 13479981.58274273
   1.38702039 13477321.54397703
   1.38723928 13474668.78364274
   1.38745823 13472023.29376256
   1.38767724 13469385.06636557
   1.38789630 13466754.09348685
   1.38811542 13464130.36716745
   1.38833460 13461513.87945482
   1.38855384 13458904.62240263
   1.38877314 13456302.58807007
   1.38899249 13453707.76852290
   1.38921190 13451120.15583281
   1.38943137 13448539.74207764
   1.38965090 13445966.51934129
   1.38987048 13443400.47971376
   1.39009012 13440841.61529110
   1.39030982 13438289.91817546
   1.39052958 13435745.38047508
   1.39074940 13433207.99430422
   1.39096928 13430677.75178335
   1.39118921 13428154.64503862
   1.39140920 13425638.66620274
   1.39162925 13423129.80741412
   1.39184936 13420628.06081745
   1.39206952 13418133.41856323
   1.39228975 13415645.87280820
   1.39251003 13413165.41571499
   1.39273037 13410692.03945242
   1.39295077 13408225.73619520
   1.39317123 13405766.49812408
   1.39339174 13403314.31742624
   1.39361231 13400869.18629403
   1.39383295 13398431.09692668
   1.39405364 13396000.04152875
   1.39427439 13393576.01231136
   1.39449519 13391159.00149129
   1.39471606 13388749.00129147
   1.39493698 13386346.00394082
   1.39515797 13383950.00167415
   1.39537901 13381560.98673241
   1.39560011 13379178.95136240
   1.39582126 13376803.88781695
   1.39604248 13374435.78835500
   1.39626376 13372074.64524119
   1.39648509 13369720.45074635
   1.39670648 13367373.19714733
   1.39692793 13365032.87672669
   1.39714944 13362699.48177311
   1.39737101 13360373.00458133
   1.39759264 13358053.43745179
   1.39781432 13355740.77269110
   1.39803607 13353435.00261167
   1.39825787 13351136.11953204
   1.39847973 13348844.11577641
   1.39870165 13346558.98367513
   1.39892363 13344280.71556449
   1.39914567 13342009.30378653
   1.39936777 13339744.74068939
   1.39958993 13337487.01862700
   1.39981214 13335236.12995935
   1.40003441 13332992.06705221
   1.40025675 13330754.82227738
   1.40047914 13328524.38801242
